record_id,subsystem,item,quantity,mass_nominal_kg,mass_min_kg,mass_max_kg,axial_cg_mm_from_nose,status,current_model_treatment,source,notes
SYS-DRY-001,system,Complete dry vehicle excluding motor,1,5.320,5.320,5.320,1280,provisional,authoritative_top_down_dry_override,simulations/openrocket/andromeda-v0.2/rocket.ork,"Existing OpenRocket stage override; not a reconciled component sum and must not be combined with planning allocations without replacing this row"
PROP-001,propulsion,Pro54-5G K570 loaded motor,1,1.680,1.680,1.680,TBD,published_model_input,added_to_SYS-DRY-001_at_launch,simulations/openrocket/andromeda-v0.2/Pro54-5G-K570.eng,"OpenRocket handles the motor mass and CG separately from the dry-stage override"
PROP-002,propulsion,K570 propellant,1,0.650,0.650,0.650,TBD,published_model_input,subset_of_PROP-001,simulations/openrocket/andromeda-v0.2/Pro54-5G-K570.eng,"Consumed during burn; do not add separately to launch mass"
PROP-003,propulsion,K570 inert motor after burnout,1,1.030,1.030,1.030,TBD,derived,derived_from_PROP-001_minus_PROP-002,simulations/openrocket/andromeda-v0.2/Pro54-5G-K570.eng,"1.680 - 0.650 kg; residual/inert CG history remains controlled by the motor model"
SYS-LAUNCH-001,system,Current provisional launch mass,1,7.000,7.000,7.000,TBD,derived_provisional,summary_only_not_for_sum,integration/budgets/mass-budget.csv,"SYS-DRY-001 + PROP-001; valid only while the 5.32 kg top-down dry override remains the model basis"
SYS-BURNOUT-001,system,Current provisional burnout mass,1,6.350,6.350,6.350,TBD,derived_provisional,summary_only_not_for_sum,integration/budgets/mass-budget.csv,"SYS-DRY-001 + PROP-003; excludes any unmodelled jettison or deployment mass change"
REC-001,recovery,Main parachute,1,0.420,0.420,0.420,TBD,provisional_model_assumption,included_in_SYS-DRY-001,simulations/openrocket/andromeda-v0.2/rocket.ork,"Trial packed interval x=370-550 mm conflicts radially with the ogive; installed CG is not released"
REC-002,recovery,Drogue parachute,1,0.400,0.400,0.400,TBD,provisional_model_assumption,included_in_SYS-DRY-001,simulations/openrocket/andromeda-v0.2/rocket.ork,"Trial packed interval x=210-370 mm; pack and installed position remain unverified"
PWR-001,power,4S 6000 mAh main payload LiPo,1,TBD,0.570,0.625,TBD,planning_estimate_not_merged,not_reconciled_with_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"Draft PR #3 planning allocation; battery bay x=730-910 mm but exact pack and installed CG are TBD"
PWR-002,power,2S 850-1300 mAh recovery LiPo,1,TBD,0.060,0.110,TBD,planning_estimate_not_merged,not_reconciled_with_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"Draft PR #3 planning allocation; exact pack and installed position are TBD"
PWR-003,power,Combined battery allocation,1,TBD,0.630,0.735,TBD,derived_planning_range,aggregate_summary_not_for_sum,docs/decisions/battery.md@docs/battery-power-decision,"PWR-001 + PWR-002; excludes regulators protection wiring connectors and mounts"
STRUCT-001,structures,Carbon-fiber nose and shoulder assembly,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Material geometry is provisional; fabricated assembly must be weighed"
STRUCT-002,structures,Carbon-fiber cylindrical airframe sections,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Includes 800 mm avionics tube and 600 mm propulsion tube; couplers are separate"
STRUCT-003,structures,Fiberglass RF-transparent antenna bay,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"200 mm bay from x=1350-1550 mm"
STRUCT-004,structures,Motor mount retention and thrust structure,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Motor-mount tube geometry exists; retention and load-path hardware remain TBD"
STRUCT-005,structures,Four fins tabs fillets and reinforcement,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,simulations/openrocket/andromeda-v0.2/rocket.ork,"Aerodynamic geometry exists; manufactured mass and installed CG are TBD"
STRUCT-006,structures,Couplers rails bulkheads fasteners and local reinforcement,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Complete structural joining-hardware inventory is not selected"
MECH-001,mechanisms,Separation and deployment mechanism,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Conceptual 80 mm allocation beginning at x=550 mm; detailed hardware is TBD"
MECH-002,mechanisms,Recovery servos,2,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"Two servos are required; exact part number mount linkage and installed stations are TBD"
REC-003,recovery,Recovery harness lines protectors and deployment hardware,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,simulations/openrocket/andromeda-v0.2/README.md,"Must avoid double-counting any line mass already represented by OpenRocket parachute components"
ELEC-001,electronics,K26 SOM custom carrier and compute disk,1,TBD,TBD,TBD,1030,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Station is conceptual; carrier connectors shields cooling hardware and assembly CG are TBD"
ELEC-002,electronics,Flight-control recovery-control and power-distribution electronics,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Conceptual disk stations exist at x=650 695 and 940 mm; detailed mass split is TBD"
VIDEO-001,video,Four cameras optical windows mounts and cables,4,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Camera disk station x=985 mm is conceptual; camera parts and installation are not selected"
RF-001,wideband_rf,PlutoSDR enclosure support and interface cabling,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Body envelope x=1180-1297 mm; service volume mounts and installed CG are TBD"
RF-002,wideband_rf,3 W RF power amplifier thermal path and RF cabling,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"PA electrical power is budgeted but hardware mass and installation are not selected"
NAV-001,navigation,Dual-GNSS INS sensors and navigation disk assembly,1,TBD,TBD,TBD,1320,open_explicit_TBD,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Mass is explicitly required before the integrated CG and flight simulation can be updated"
TC-001,telemetry,NB telemetry radio and associated electronics,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,docs/requirements/CONOPS.md,"Exact radio hardware mass and station are not selected"
RF-003,rf,GNSS NB and WB antennas coax feeds connectors and supports,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Antenna definitions routed cable lengths and installed mass distribution remain TBD"
PWR-004,power,Regulators BEC protection fuses connectors and power wiring,1,TBD,TBD,TBD,TBD,open,excluded_from_PWR-003_and_masked_by_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"Must be added when the two-domain power architecture is physically selected"
THERM-001,thermal,Thermal spreaders heatsinks insulation and mounting hardware,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,subsystems/structures_mechanisms/cad/packaging-v0.2/parameters.csv,"Thermal architecture is not released"
PAYLOAD-001,payload,Storage and remaining peripherals,1,TBD,TBD,TBD,TBD,open,masked_by_SYS-DRY-001,docs/decisions/battery.md@docs/battery-power-decision,"Included in the power case but not selected or individually allocated by mass"
BALLAST-001,system,Ballast,1,TBD,0.000,TBD,TBD,open,not_present_in_current_model,integration/budgets/mass-budget.csv,"Set only after the reconciled mass distribution and stability analysis establish a need"
GROWTH-001,system,Unallocated mass growth reserve,1,TBD,TBD,TBD,TBD,open,not_present_in_current_model,requirements/system.yaml,"Reserve policy and limit remain TBD under SYS-MASS-001"
